iter	Passed	Remaining
0	173	172967
1	181	90810
2	187	62278
3	192	47881
4	197	39376
5	203	33644
6	207	29487
7	213	26450
8	218	24087
9	223	22170
10	229	20610
11	234	19277
12	239	18184
13	244	17201
14	249	16367
15	255	15685
16	259	15004
17	264	14419
18	269	13890
19	274	13428
20	279	13028
21	284	12631
22	288	12265
23	293	11951
24	299	11681
25	304	11388
26	308	11134
27	315	10943
28	320	10738
29	325	10521
30	330	10340
31	336	10172
32	341	10018
33	347	9874
34	352	9714
35	357	9575
36	363	9467
37	368	9326
38	373	9194
39	379	9100
40	384	8982
41	389	8888
42	396	8824
43	401	8716
44	405	8614
45	412	8546
46	416	8454
47	422	8376
48	427	8301
49	432	8215
50	436	8130
51	442	8060
52	447	7994
53	452	7921
54	457	7863
55	463	7809
56	467	7741
57	473	7684
58	478	7632
59	483	7573
60	488	7522
61	494	7480
62	500	7450
63	506	7405
64	512	7367
65	516	7315
66	521	7263
67	527	7225
68	532	7179
69	536	7129
70	541	7087
71	546	7048
72	551	7001
73	556	6961
74	562	6933
75	567	6894
76	571	6855
77	577	6830
78	583	6799
79	588	6769
80	594	6746
81	599	6709
82	604	6675
83	610	6662
84	615	6628
85	620	6598
86	626	6577
87	631	6543
88	636	6511
89	641	6488
90	646	6457
91	651	6426
92	656	6406
93	661	6377
94	666	6345
95	671	6320
96	676	6297
97	681	6269
98	685	6242
99	691	6223
100	696	6197
101	700	6171
102	707	6158
103	712	6138
104	717	6115
105	723	6098
106	727	6075
107	732	6051
108	739	6045
109	744	6022
110	749	5999
111	755	5986
112	759	5964
113	764	5944
114	770	5930
115	776	5917
116	781	5894
117	786	5875
118	790	5853
119	795	5837
120	800	5818
121	805	5797
122	810	5780
123	815	5759
124	820	5742
125	825	5726
126	831	5716
127	837	5703
128	841	5683
129	847	5668
130	852	5654
131	856	5634
132	861	5616
133	867	5603
134	871	5585
135	877	5577
136	883	5564
137	888	5547
138	893	5533
139	897	5515
140	903	5503
141	908	5487
142	912	5471
143	918	5458
144	923	5445
145	929	5434
146	934	5420
147	938	5404
148	943	5390
149	948	5377
150	953	5362
151	958	5348
152	963	5334
153	968	5321
154	973	5307
155	978	5293
156	984	5284
157	988	5270
158	993	5254
159	998	5244
160	1003	5230
161	1008	5216
162	1013	5206
163	1019	5196
164	1023	5180
165	1029	5170
166	1034	5160
167	1039	5148
168	1044	5134
169	1049	5125
170	1055	5114
171	1059	5102
172	1064	5090
173	1069	5078
174	1075	5068
175	1079	5056
176	1085	5045
177	1090	5036
178	1096	5029
179	1101	5017
180	1106	5006
181	1111	4996
182	1117	4987
183	1121	4974
184	1126	4961
185	1131	4953
186	1137	4943
187	1142	4933
188	1146	4920
189	1151	4908
190	1156	4897
191	1161	4887
192	1166	4879
193	1171	4867
194	1176	4856
195	1181	4846
196	1186	4835
197	1190	4824
198	1196	4814
199	1201	4805
200	1205	4793
201	1210	4783
202	1215	4772
203	1220	4761
204	1225	4750
205	1230	4742
206	1235	4733
207	1240	4724
208	1245	4713
209	1250	4704
210	1255	4693
211	1260	4683
212	1264	4673
213	1270	4666
214	1275	4658
215	1280	4647
216	1285	4639
217	1290	4629
218	1296	4622
219	1300	4611
220	1305	4600
221	1310	4593
222	1316	4585
223	1321	4577
224	1326	4567
225	1331	4560
226	1335	4548
227	1340	4540
228	1345	4530
229	1350	4519
230	1355	4510
231	1360	4502
232	1364	4492
233	1369	4482
234	1374	4473
235	1378	4463
236	1383	4454
237	1388	4446
238	1394	4438
239	1398	4429
240	1403	4420
241	1409	4414
242	1414	4406
243	1419	4399
244	1424	4390
245	1429	4381
246	1434	4372
247	1439	4364
248	1444	4355
249	1448	4346
250	1453	4338
251	1459	4333
252	1464	4324
253	1469	4316
254	1475	4309
255	1480	4301
256	1485	4293
257	1490	4287
258	1496	4282
259	1501	4273
260	1506	4264
261	1511	4257
262	1516	4250
263	1521	4241
264	1526	4232
265	1530	4224
266	1535	4216
267	1540	4208
268	1546	4201
269	1550	4193
270	1556	4185
271	1561	4179
272	1566	4171
273	1571	4162
274	1576	4154
275	1581	4148
276	1586	4140
277	1591	4132
278	1596	4124
279	1601	4118
280	1606	4111
281	1611	4102
282	1615	4093
283	1620	4086
284	1625	4078
285	1630	4070
286	1635	4062
287	1640	4055
288	1645	4047
289	1650	4039
290	1655	4034
291	1661	4027
292	1666	4020
293	1671	4013
294	1676	4006
295	1682	4000
296	1687	3993
297	1692	3985
298	1697	3979
299	1701	3971
300	1706	3963
301	1711	3955
302	1716	3948
303	1721	3940
304	1726	3933
305	1731	3926
306	1736	3919
307	1740	3910
308	1745	3903
309	1751	3897
310	1756	3891
311	1761	3884
312	1767	3878
313	1772	3872
314	1777	3864
315	1782	3858
316	1787	3852
317	1792	3844
318	1797	3836
319	1802	3830
320	1808	3825
321	1814	3819
322	1820	3814
323	1824	3807
324	1830	3801
325	1836	3796
326	1841	3789
327	1846	3783
328	1852	3778
329	1858	3772
330	1863	3765
331	1868	3760
332	1876	3758
333	1882	3753
334	1888	3749
335	1893	3741
336	1899	3736
337	1905	3731
338	1910	3725
339	1916	3720
340	1923	3716
341	1928	3709
342	1933	3703
343	1939	3698
344	1944	3690
345	1950	3687
346	1955	3679
347	1960	3673
348	1966	3668
349	1971	3661
350	1976	3654
351	1982	3649
352	1987	3642
353	1991	3635
354	1998	3630
355	2003	3624
356	2008	3618
357	2014	3611
358	2018	3604
359	2023	3597
360	2028	3590
361	2033	3583
362	2038	3577
363	2043	3570
364	2048	3564
365	2053	3557
366	2058	3550
367	2063	3543
368	2068	3537
369	2073	3530
370	2078	3523
371	2083	3517
372	2088	3510
373	2093	3503
374	2099	3498
375	2103	3491
376	2108	3484
377	2113	3477
378	2118	3471
379	2122	3463
380	2127	3457
381	2133	3450
382	2138	3445
383	2143	3438
384	2148	3432
385	2155	3428
386	2160	3421
387	2165	3416
388	2170	3409
389	2175	3402
390	2180	3395
391	2185	3388
392	2189	3381
393	2195	3376
394	2200	3370
395	2205	3363
396	2211	3358
397	2216	3352
398	2221	3345
399	2226	3339
400	2231	3333
401	2237	3327
402	2242	3321
403	2247	3315
404	2253	3310
405	2258	3303
406	2263	3298
407	2268	3291
408	2273	3285
409	2278	3279
410	2284	3273
411	2289	3266
412	2294	3261
413	2299	3254
414	2304	3247
415	2310	3243
416	2316	3238
417	2322	3233
418	2328	3229
419	2333	3222
420	2338	3216
421	2343	3210
422	2349	3205
423	2355	3200
424	2362	3196
425	2367	3190
426	2373	3184
427	2379	3179
428	2385	3174
429	2391	3169
430	2396	3164
431	2401	3158
432	2407	3152
433	2412	3146
434	2418	3141
435	2424	3136
436	2429	3129
437	2434	3123
438	2440	3118
439	2446	3113
440	2450	3106
441	2456	3101
442	2461	3095
443	2480	3106
444	2485	3099
445	2490	3093
446	2495	3087
447	2499	3080
448	2505	3074
449	2510	3068
450	2516	3063
451	2522	3058
452	2528	3053
453	2533	3046
454	2538	3041
455	2543	3034
456	2548	3028
457	2554	3022
458	2559	3016
459	2564	3010
460	2569	3004
461	2575	2999
462	2580	2993
463	2586	2988
464	2593	2983
465	2597	2977
466	2603	2971
467	2609	2966
468	2615	2960
469	2621	2956
470	2626	2949
471	2631	2943
472	2637	2938
473	2642	2932
474	2647	2926
475	2652	2920
476	2657	2913
477	2662	2907
478	2667	2901
479	2673	2896
480	2678	2890
481	2684	2885
482	2689	2878
483	2694	2872
484	2699	2866
485	2704	2860
486	2709	2854
487	2714	2848
488	2720	2842
489	2725	2836
490	2730	2830
491	2735	2824
492	2740	2818
493	2745	2812
494	2751	2806
495	2756	2800
496	2761	2794
497	2766	2788
498	2771	2782
499	2776	2776
500	2781	2770
501	2787	2764
502	2792	2758
503	2796	2752
504	2801	2746
505	2807	2740
506	2812	2735
507	2817	2728
508	2822	2722
509	2827	2716
510	2832	2710
511	2837	2704
512	2843	2699
513	2848	2693
514	2853	2687
515	2858	2681
516	2863	2675
517	2871	2672
518	2876	2665
519	2880	2659
520	2885	2652
521	2890	2646
522	2896	2641
523	2901	2635
524	2906	2629
525	2911	2623
526	2916	2617
527	2920	2610
528	2926	2605
529	2932	2600
530	2937	2594
531	2943	2589
532	2948	2583
533	2953	2577
534	2958	2571
535	2963	2565
536	2968	2559
537	2973	2553
538	2979	2548
539	2984	2542
540	2989	2536
541	2995	2531
542	3001	2526
543	3006	2519
544	3011	2514
545	3017	2508
546	3022	2503
547	3027	2497
548	3033	2491
549	3039	2486
550	3044	2481
551	3050	2476
552	3055	2469
553	3060	2464
554	3067	2459
555	3072	2453
556	3079	2449
557	3085	2444
558	3092	2439
559	3097	2433
560	3102	2428
561	3107	2422
562	3113	2416
563	3118	2410
564	3123	2404
565	3129	2399
566	3135	2394
567	3141	2389
568	3148	2384
569	3153	2379
570	3160	2374
571	3166	2369
572	3171	2363
573	3177	2357
574	3181	2351
575	3186	2345
576	3191	2339
577	3196	2334
578	3201	2327
579	3206	2322
580	3212	2316
581	3218	2311
582	3224	2306
583	3229	2300
584	3234	2294
585	3239	2288
586	3245	2283
587	3249	2277
588	3254	2271
589	3260	2265
590	3266	2260
591	3271	2254
592	3277	2249
593	3282	2243
594	3286	2237
595	3292	2232
596	3297	2225
597	3302	2220
598	3308	2215
599	3313	2209
600	3318	2203
601	3323	2197
602	3328	2191
603	3333	2185
604	3339	2180
605	3344	2174
606	3349	2168
607	3354	2163
608	3360	2157
609	3365	2151
610	3370	2145
611	3375	2140
612	3380	2134
613	3386	2129
614	3392	2123
615	3396	2117
616	3402	2112
617	3408	2106
618	3412	2100
619	3418	2095
620	3424	2090
621	3430	2085
622	3437	2079
623	3443	2074
624	3450	2070
625	3457	2065
626	3463	2060
627	3470	2055
628	3476	2050
629	3480	2044
630	3487	2039
631	3492	2033
632	3498	2028
633	3504	2022
634	3509	2017
635	3514	2011
636	3520	2006
637	3526	2000
638	3532	1995
639	3538	1990
640	3543	1984
641	3548	1978
642	3554	1973
643	3560	1968
644	3566	1962
645	3571	1957
646	3576	1951
647	3582	1945
648	3588	1940
649	3593	1935
650	3599	1929
651	3604	1924
652	3610	1918
653	3615	1913
654	3622	1907
655	3627	1902
656	3633	1896
657	3638	1890
658	3642	1885
659	3648	1879
660	3653	1873
661	3658	1868
662	3664	1862
663	3669	1856
664	3674	1851
665	3680	1845
666	3685	1840
667	3690	1834
668	3695	1828
669	3701	1823
670	3706	1817
671	3711	1811
672	3717	1806
673	3722	1800
674	3727	1794
675	3733	1789
676	3738	1783
677	3743	1777
678	3749	1772
679	3754	1766
680	3758	1760
681	3764	1755
682	3770	1749
683	3774	1743
684	3781	1738
685	3786	1733
686	3791	1727
687	3797	1722
688	3803	1716
689	3808	1711
690	3816	1706
691	3821	1700
692	3826	1695
693	3832	1689
694	3838	1684
695	3844	1679
696	3850	1673
697	3855	1668
698	3864	1664
699	3869	1658
700	3874	1652
701	3881	1647
702	3887	1642
703	3893	1637
704	3899	1631
705	3904	1626
706	3910	1620
707	3927	1619
708	3942	1618
709	3950	1613
710	3958	1608
711	3965	1604
712	3971	1598
713	3978	1593
714	3983	1587
715	3988	1582
716	3995	1576
717	4000	1571
718	4005	1565
719	4010	1559
720	4016	1554
721	4021	1548
722	4026	1542
723	4031	1537
724	4036	1531
725	4042	1525
726	4047	1520
727	4053	1514
728	4058	1508
729	4063	1503
730	4068	1497
731	4073	1491
732	4079	1486
733	4084	1480
734	4090	1474
735	4095	1469
736	4100	1463
737	4105	1457
738	4111	1452
739	4116	1446
740	4121	1440
741	4128	1435
742	4133	1429
743	4138	1424
744	4146	1419
745	4151	1413
746	4156	1407
747	4162	1402
748	4167	1396
749	4172	1390
750	4178	1385
751	4183	1379
752	4190	1374
753	4195	1368
754	4200	1363
755	4206	1357
756	4212	1352
757	4217	1346
758	4223	1341
759	4228	1335
760	4234	1329
761	4240	1324
762	4246	1318
763	4251	1313
764	4257	1307
765	4263	1302
766	4270	1297
767	4275	1291
768	4282	1286
769	4288	1280
770	4294	1275
771	4301	1270
772	4307	1265
773	4313	1259
774	4320	1254
775	4326	1249
776	4331	1243
777	4337	1237
778	4342	1232
779	4347	1226
780	4352	1220
781	4358	1214
782	4363	1209
783	4368	1203
784	4373	1197
785	4378	1192
786	4384	1186
787	4390	1181
788	4395	1175
789	4401	1170
790	4407	1164
791	4414	1159
792	4420	1153
793	4426	1148
794	4431	1142
795	4437	1137
796	4442	1131
797	4447	1125
798	4453	1120
799	4458	1114
800	4464	1109
801	4470	1103
802	4475	1097
803	4481	1092
804	4487	1087
805	4493	1081
806	4499	1076
807	4505	1070
808	4510	1064
809	4515	1059
810	4520	1053
811	4526	1048
812	4532	1042
813	4538	1037
814	4544	1031
815	4551	1026
816	4556	1020
817	4562	1015
818	4568	1009
819	4574	1004
820	4579	998
821	4586	993
822	4591	987
823	4598	982
824	4603	976
825	4608	970
826	4614	965
827	4619	959
828	4626	954
829	4633	948
830	4638	943
831	4644	937
832	4651	932
833	4657	927
834	4664	921
835	4669	916
836	4674	910
837	4681	904
838	4687	899
839	4692	893
840	4699	888
841	4704	882
842	4709	877
843	4715	871
844	4720	865
845	4725	860
846	4731	854
847	4737	849
848	4742	843
849	4748	838
850	4754	832
851	4760	826
852	4765	821
853	4770	815
854	4776	809
855	4782	804
856	4787	798
857	4793	793
858	4799	787
859	4804	782
860	4810	776
861	4816	771
862	4821	765
863	4826	759
864	4833	754
865	4838	748
866	4844	743
867	4849	737
868	4854	731
869	4863	726
870	4868	721
871	4874	715
872	4880	709
873	4885	704
874	4891	698
875	4897	693
876	4902	687
877	4908	682
878	4914	676
879	4920	670
880	4925	665
881	4932	659
882	4937	654
883	4944	648
884	4950	643
885	4957	637
886	4963	632
887	4968	626
888	4974	621
889	4981	615
890	4987	610
891	4994	604
892	4999	599
893	5004	593
894	5010	587
895	5016	582
896	5022	576
897	5029	571
898	5034	565
899	5039	559
900	5044	554
901	5049	548
902	5054	542
903	5060	537
904	5065	531
905	5069	526
906	5075	520
907	5080	514
908	5085	509
909	5090	503
910	5095	497
911	5100	492
912	5105	486
913	5110	480
914	5115	475
915	5122	469
